DB_Object_ID	DB_Object_Symbol	DB_Object_Name
FBgn0036340	Srrm1	Serine-arginine repetitive matrix 1
FBgn0035253	Srrm234	Serine-arginine repetitive matrix 2/3/4
FBgn0038826	Syp	Syncrip
FBgn0030365	Tango4	Transport and Golgi organization 4
FBgn0033210	U2A	U2A
FBgn0017457	U2af38	U2 small nuclear riboprotein auxiliary factor 38
FBgn0005411	U2af50	U2 small nuclear riboprotein auxiliary factor 50
FBgn0036733	U4-U6-60K	U4-U6 small nuclear riboprotein factor 60K
FBgn0030969	Usp39	Ubiquitin specific protease 39
FBgn0037583	Veneno	Veneno
FBgn0029941	ZC3H18	Zinc finger CCCH-type containing 18
FBgn0263603	Zn72D	Zinc-finger protein at 72D
FBgn0015331	abs	abstrakt
FBgn0266869	asRNA:CR45330	antisense RNA:CR45330
FBgn0037081	barc	barricade
FBgn0037660	beag	beag
FBgn0040235	c12.1	c12.1
FBgn0031114	cactin	cactin
FBgn0285954	caz	cabeza
FBgn0000377	crn	crooked neck
FBgn0028382	cyp33	cyclophilin-33
FBgn0000615	exu	exuperantia
FBgn0033859	fand	fandango
FBgn0028577	hfp	half pint
FBgn0286786	hoip	hoi-polloi
FBgn0032250	holn1	hole-in-one
FBgn0029079	icln	icln
FBgn0024887	kin17	kin17
FBgn0001491	l(1)10Bb	lethal (1) 10Bb
FBgn0086444	l(2)37Cb	lethal (2) 37Cb
FBgn0011640	lark	lark
FBgn0266029	lncRNA:CR44794	long non-coding RNA:CR44794
FBgn0263594	lost	lost
FBgn0002736	mago	mago nashi
FBgn0038772	mdlc	midlife crisis
FBgn0086707	ncm	nucampholin
FBgn0027548	nito	spenito
FBgn0014366	noi	noisette
FBgn0004227	nonA	no on or off transient A
FBgn0038344	obe	obelus
FBgn0265297	pAbp	poly(A) binding protein
FBgn0086895	pea	peanuts
FBgn0022986	qkr58E-1	quaking related 58E-1
FBgn0015778	rin	rasputin
FBgn0051368	salsa	salsa
FBgn0024191	sip1	septin interacting protein 1
FBgn0003916	snRNA:U1:21D	small nuclear RNA U1 at 21D
FBgn0004183	snRNA:U1:82Eb	small nuclear RNA U1 at 82Eb
FBgn0004185	snRNA:U1:95Ca	small nuclear RNA U1 at 95C a
FBgn0004186	snRNA:U1:95Cb	small nuclear RNA U1 at 95C b
FBgn0004187	snRNA:U1:95Cc	small nuclear RNA U1 at 95C c
FBgn0003920	snRNA:U2:14B	small nuclear RNA U2 at 14B
FBgn0004191	snRNA:U2:34ABa	small nuclear RNA U2 at 34AB a
FBgn0004192	snRNA:U2:34ABb	small nuclear RNA U2 at 34AB b
FBgn0041720	snRNA:U2:34ABc	small nuclear RNA U2 at 34AB c
FBgn0003922	snRNA:U2:38ABa	small nuclear RNA U2 at 38AB a
FBgn0003923	snRNA:U2:38ABb	small nuclear RNA U2 at 38AB b
FBgn0041719	snRNA:U4:25F	small nuclear RNA U4 at 25F
FBgn0003931	snRNA:U4:38AB	small nuclear RNA U4 at 38AB
FBgn0003930	snRNA:U4:39B	small nuclear RNA U4 at 39B
FBgn0003933	snRNA:U5:14B	small nuclear RNA U5 at 14B
FBgn0003934	snRNA:U5:23D	small nuclear RNA U5 at 23D
FBgn0003935	snRNA:U5:34A	small nuclear RNA U5 at 34A
FBgn0003936	snRNA:U5:35D	small nuclear RNA U5 at 35D
FBgn0043022	snRNA:U5:38ABa	small nuclear RNA U5 at 38AB a
FBgn0043021	snRNA:U5:38ABb	small nuclear RNA U5 at 38AB b
FBgn0003938	snRNA:U5:63BC	small nuclear RNA U5 at 63BC
FBgn0004188	snRNA:U6:96Aa	small nuclear RNA U6 at 96A a
FBgn0004189	snRNA:U6:96Ab	small nuclear RNA U6 at 96A b
FBgn0004190	snRNA:U6:96Ac	small nuclear RNA U6 at 96A c
FBgn0016978	snRNP-U1-70K	small ribonucleoprotein particle U1 subunit 70K
FBgn0261792	snRNP-U1-C	small ribonucleoprotein particle U1 subunit C
FBgn0003449	snf	sans fille
FBgn0263396	sqd	squid
FBgn0039124	tbrd-1	testis-specifically expressed bromodomain containing protein-1
FBgn0003742	tra2	transformer 2
FBgn0033378	tsu	tsunagi
FBgn0028554	x16	x16 splicing factor
FBgn0261287	ymp	yellow-emperor
FBgn0022959	yps	ypsilon schachtel
FBgn0021895	ytr	yantar
